t,x,y
0.03,12.899649,15.676887
0.045,2.057196,14.992534
0.06,7.677001,18.21496
0.075,18.434347,10.668778
0.09,12.81532,11.840349
0.105,21.564893,6.270162
0.12,11.664714,19.860925
0.135,18.496211,24.770528
0.15,4.725077,21.851751
0.165,2.959647,6.725484
0.18,11.270925,4.421361
0.195,8.869275,17.40976
0.21,22.335224,5.742414
0.225,21.578319,6.100134
0.24,14.973897,8.887003
0.255,12.867276,15.734163
0.27,8.086966,6.608961
0.285,25.229241,16.259894
0.3,19.9463,24.424729
0.315,11.212327,4.576339
0.33,22.388669,4.766414
0.345,3.11972,15.981145
0.36,10.684519,22.852192
0.375,4.955846,16.941846
0.39,3.306899,11.752827
0.405,17.7165,23.942916
0.42,14.739245,17.232918
0.435,18.574868,11.259934
0.45,15.258266,7.065806
0.465,15.348729,17.978417
0.48,15.154602,7.004297
0.495,10.274323,5.461559
0.51,21.704835,6.184335
0.525,16.191275,2.838042
0.54,22.37045,5.664276
0.555,16.388303,3.779609
0.57,13.999623,10.201604
0.585,1.559261,9.590021
0.6,24.727926,25.557498
0.615,14.903916,8.990122
0.63,18.017665,25.246712
0.645,14.953371,17.692754
0.66,10.407275,19.592499
0.675,22.268469,4.475493
0.69,11.56142,9.771765
0.705,12.479711,11.807312
0.72,15.392693,12.181543
0.735,12.842018,3.964362
0.75,10.466933,19.64757
0.765,19.730839,23.420953
0.78,21.348182,13.441381
0.795,5.785223,14.356534
0.81,11.888296,11.829997
0.825,17.809367,25.832409
0.84,17.728346,23.896235
0.855,4.775244,21.939718
0.87,20.076313,13.044658
0.885,4.838237,10.988361
0.9,8.314733,4.587854
0.915,14.028924,10.224076
0.93,19.443993,24.908909
0.945,3.356343,10.751011
0.96,11.848816,11.789269
0.975,1.859631,14.421031
0.99,17.144659,23.590146
1.005,15.445115,11.224936
1.02,20.318632,5.542028
1.035,9.974324,11.271234
1.05,11.64185,19.875747
1.065,11.693645,19.822367
1.08,4.476893,10.998377
1.095,19.350696,25.177362
1.11,10.545143,5.655151
1.125,17.755738,23.81978
1.14,11.012327,10.120553
1.155,14.841258,7.006072
1.17,9.545766,5.66124
1.185,10.946325,10.232258
1.2,9.388645,5.708813
1.215,1.590764,9.54679
1.23,10.980114,10.047705
1.245,3.496438,6.597524
1.26,1.724235,14.294467
1.275,15.207876,12.588501
1.29,14.787583,10.619523
1.305,15.058537,17.605422
1.32,5.92529,14.386832
1.335,17.764192,23.851957
1.35,14.601535,7.335964
1.365,5.83063,14.455982
1.38,17.571151,23.822726
1.395,12.628361,15.529237
1.41,4.33307,14.029432
1.425,1.632959,14.335277
1.44,14.724868,11.518697
1.455,4.657245,13.273553
1.47,11.354761,10.497887
1.485,19.341133,13.339133
1.5,11.942954,10.83812
1.515,19.610157,3.973465
1.53,20.863898,10.709525
1.545,10.482577,5.588837
1.56,4.513262,14.122051
1.575,17.921227,24.585577
1.59,11.572237,13.450583
1.605,12.597263,4.23166
1.62,12.808299,16.086192
1.635,12.692141,11.685617
1.65,16.558743,3.683763
1.665,16.255651,2.770514
1.68,14.417372,4.721884
1.695,3.902574,14.667299
1.71,25.332983,16.210249
1.725,25.301133,16.155291
1.74,3.691921,10.58853
1.755,3.789504,15.908353
1.77,15.029026,17.577614
1.785,19.89715,5.49904
1.8,24.806574,19.922168
1.815,12.793074,15.924346
1.83,11.326788,4.791123
1.845,11.626965,19.83818
1.86,11.207126,12.534835
1.875,8.902104,9.670553
1.89,24.539175,15.667584
1.905,1.007479,15.686286
1.92,14.336662,4.658654
1.935,16.224742,13.190423
1.95,11.630253,19.788265
1.965,25.894985,15.665391
1.98,19.320147,5.796271
1.995,17.303642,18.35518
2.01,11.25245,16.956414
2.025,7.492459,9.523947
2.04,15.344927,7.521983
2.055,12.956375,15.757625
2.07,19.392399,24.091198
2.085,12.102354,11.24491
2.1,17.717973,23.883849
2.115,4.840124,9.796066
2.13,14.046877,10.097111
2.145,11.228998,5.411565
2.16,20.428918,13.143493
2.175,9.014824,6.190108
2.19,14.049292,10.101138
2.205,9.031827,6.120797
2.22,4.441294,8.837291
2.235,1.284498,10.172922
2.25,10.098409,20.259145
2.265,3.537409,11.244912
2.28,11.661901,19.767241
2.295,7.652827,9.445301
2.31,15.298509,7.496017
2.325,1.769686,6.074009
2.34,24.485355,8.000484
2.355,11.462652,10.074044
2.37,1.256694,10.224549
2.385,12.244417,15.393028
2.4,16.764737,23.067814
2.415,15.309803,7.425734
2.43,25.411256,12.302858
2.445,10.359857,5.473076
2.46,7.533986,9.49644
2.475,12.311351,11.402423
2.49,15.071359,4.427984
2.505,17.338686,23.934042
2.52,25.358181,12.340552
2.535,12.75024,3.619722
2.55,4.893347,13.837508
2.565,11.366049,10.557879
2.58,15.351345,7.509861
2.595,14.442812,4.435114
2.61,11.426302,11.675922
2.625,11.147037,13.298089
2.64,7.239123,8.390199
2.655,21.905864,20.62157
2.67,16.234156,13.146304
2.685,17.529575,12.634179
2.7,14.977812,16.866916
2.715,7.746405,18.415037
2.73,5.058403,9.43512
2.745,25.413453,25.55975
2.76,4.13064,12.276878
2.775,11.319478,10.510729
2.79,7.44779,9.516058
2.805,3.309589,10.469839
2.82,20.330349,4.343769
2.835,24.854966,17.358973
2.85,16.571559,3.201998
2.865,19.650039,24.534503
2.88,22.505808,5.777603
2.895,10.455475,10.352057
2.91,16.666138,23.135059
2.925,7.491055,9.587492
2.94,19.814157,24.394604
2.955,10.363892,10.283331
2.97,12.567816,9.368297
2.985,7.459588,9.421779
3.0,11.607478,13.633996
3.015,7.665061,7.453409
3.03,25.403328,15.957618
3.045,11.118595,12.033206
3.06,7.572267,8.190556
3.075,17.596646,12.494851
3.09,21.391399,13.281713
3.105,15.777606,5.622121
3.12,11.62191,13.578479
3.135,23.911528,15.562972
3.15,11.532844,9.628671
3.165,13.933177,10.214569
3.18,23.702744,15.61276
3.195,8.286329,4.469469
3.21,0.828347,15.578103
3.225,11.108149,4.794607
3.24,20.168497,8.833495
3.255,15.415987,11.299739
3.27,18.73254,24.718723
3.285,7.432053,8.344798
3.3,9.700521,11.623798
3.315,12.36072,16.284888
3.33,15.710156,5.692071
3.345,14.03256,10.215153
3.36,21.063638,9.354967
3.375,16.582417,3.230867
3.39,8.042894,9.422361
3.405,14.337658,4.773157
3.42,9.721473,11.506531
3.435,4.651009,13.596764
3.45,1.478128,9.41419
3.465,5.412179,12.975695
3.48,22.445151,5.680216
3.495,9.71194,5.143491
3.51,0.918928,15.462818
3.525,16.032923,12.599046
3.54,10.889761,10.224358
3.555,4.919443,13.009245
3.57,24.832749,17.390092
3.585,5.077875,9.523307
3.6,14.65662,7.469387
3.615,5.187781,13.706859
3.63,15.492679,5.86235
3.645,11.63919,9.778408
3.66,21.527059,13.401024
3.675,20.910503,12.975827
3.69,15.504251,11.243433
3.705,18.429213,11.354857
3.72,3.117712,7.102775
3.735,0.621229,9.620703
3.75,15.383359,6.063926
3.765,20.45142,12.862682
3.78,15.310885,7.48292
3.795,15.715804,8.435063
3.81,15.651923,5.07484
3.825,6.824964,8.210841
3.84,7.540813,9.550455
3.855,25.240062,13.350957
3.87,19.893596,9.166831
3.885,19.033687,5.020607
3.9,25.115376,25.151357
3.915,3.548775,10.76966
3.93,21.620206,12.707792
3.945,21.499261,13.415355
3.96,15.525632,11.265177
3.975,7.016547,8.588082
3.99,14.298081,11.33229
4.005,12.81588,16.607023
4.02,12.61379,15.443439
4.035,3.396997,13.377842
4.05,11.788492,5.301971
4.065,9.083155,3.225614
4.08,24.756878,14.978054
4.095,16.74297,23.106784
4.11,11.639859,4.903919
4.125,9.098238,6.064624
4.14,25.491443,8.029494
4.155,6.755607,8.190665
4.17,10.256206,10.317625
4.185,15.462302,6.986803
4.2,3.533797,10.709804
4.215,21.501654,13.367459
4.23,25.503245,16.035653
4.245,15.12363,17.62489
4.26,9.75832,11.660288
4.275,17.239872,18.543074
4.29,25.335453,12.183008
4.305,25.633413,15.22206
4.32,6.4691,8.404121
4.335,20.915132,16.992031
4.35,11.624253,9.79938
4.365,7.165079,8.429289
4.38,14.968112,5.980649
4.395,12.607167,15.451065
4.41,12.74069,4.758343
4.425,18.33422,13.464552
4.44,21.450383,13.393911
4.455,11.442861,5.062126
4.47,18.734475,24.563812
4.485,3.914845,13.51997
4.5,18.89649,24.884336
4.515,11.023265,10.399062
4.53,15.785575,5.487119
4.545,15.661526,13.480319
4.56,20.681901,13.073721
4.575,25.900353,15.727539
4.59,8.510105,12.663278
4.605,4.434617,8.913007
4.62,19.476956,24.629823
4.635,3.486026,11.745539
4.65,20.463558,4.923211
4.665,21.796205,13.485518
4.68,10.911867,10.380887
4.695,7.561969,9.47099
4.71,19.678012,24.31195
4.725,25.493138,12.581754
4.74,24.135678,8.850571
4.755,24.58458,20.630433
4.77,20.893384,12.870759
4.785,12.820462,16.627285
4.8,8.527303,5.23154
4.815,12.824421,16.638908
4.83,17.754564,24.090976
4.845,22.526729,5.872723
4.86,26.480016,12.758748
4.875,4.783292,9.556221
4.89,19.95706,9.143889
4.905,11.789402,15.793396
4.92,10.954602,10.233629
4.935,16.378717,11.360476
4.95,14.401132,4.378749
4.965,11.723093,15.745944
4.98,12.414896,5.355375
4.995,15.525117,11.232744
5.01,19.948462,9.054962
5.025,12.175147,15.252856
5.04,16.573896,3.218099
5.055,15.389477,7.414323
5.07,11.798962,11.346859
5.085,19.810407,24.277572
5.1,2.933499,16.362198
5.115,7.229861,8.439313
5.13,8.961915,6.157138
5.145,10.116981,6.09631
